nodeIP,date,sunPower,sunCurrent,sunVoltage,batteryVoltage,chargingCurrent,outputCurrent,outputVoltage,loadPower,systemTemp,batteryTemp,totalGenerated
10.0.70.40,2025-10-12 09:00:10,79.19W,3.47A,22.82V,14.13V,4.57A,0.25A,51.81V,12.95W,35,10,37838WH
10.0.70.40,2025-10-12 10:00:10,71.42W,3.18A,22.46V,14.58V,3.85A,0.24A,51.73V,12.42W,43,20,37912WH
10.0.70.40,2025-10-12 11:00:10,48.32W,2.10A,23.01V,14.58V,2.07A,0.21A,51.71V,10.86W,45,19,37965WH
10.0.70.40,2025-10-12 12:00:09,42.15W,1.81A,23.29V,14.58V,1.58A,0.24A,51.73V,12.42W,45,20,38005WH
10.0.70.40,2025-10-12 13:00:09,30.74W,1.32A,23.29V,14.58V,1.01A,0.24A,51.73V,12.42W,46,21,38036WH
10.0.70.40,2025-10-12 14:00:10,14.67W,0.63A,23.29V,14.60V,0.00A,0.22A,51.73V,11.38W,46,22,38059WH
10.0.70.40,2025-10-12 15:00:10,17.00W,0.73A,23.29V,14.60V,0.00A,0.22A,51.73V,11.38W,47,23,38073WH
10.0.70.40,2025-10-12 16:00:10,15.24W,0.68A,22.41V,15.07V,0.00A,0.22A,51.73V,11.38W,47,24,38086WH
10.0.70.40,2025-10-12 17:00:10,3.99W,0.29A,13.76V,12.73V,0.00A,0.22A,51.75V,11.39W,47,23,38092WH
10.0.70.40,2025-10-12 18:00:10,0.00W,0.00A,19.54V,12.62V,0.00A,0.21A,51.77V,10.87W,43,21,38093WH
10.0.70.40,2025-10-12 19:00:09,0.00W,0.00A,0.00V,12.54V,0.00A,0.21A,51.77V,10.87W,40,19,38093WH
10.0.70.40,2025-10-12 20:00:10,0.00W,0.00A,0.00V,12.62V,0.00A,0.09A,51.79V,4.66W,37,17,38093WH
10.0.70.40,2025-10-12 21:00:10,0.00W,0.00A,0.00V,12.58V,0.00A,0.10A,51.84V,5.18W,35,14,38093WH
10.0.70.40,2025-10-12 22:00:11,0.00W,0.00A,0.00V,12.54V,0.00A,0.09A,51.81V,4.66W,33,14,38093WH
10.0.70.40,2025-10-12 23:00:09,0.00W,0.00A,0.00V,12.52V,0.00A,0.09A,51.82V,4.66W,34,14,38093WH
10.0.70.40,2025-10-13 00:00:09,0.00W,0.00A,0.00V,12.51V,0.00A,0.09A,51.82V,4.66W,33,13,38093WH
10.0.70.40,2025-10-13 01:00:10,0.00W,0.00A,0.00V,12.47V,0.00A,0.09A,51.82V,4.66W,31,11,38093WH
10.0.70.40,2025-10-13 02:00:09,0.00W,0.00A,0.00V,12.45V,0.00A,0.10A,51.86V,5.19W,30,10,38093WH
10.0.70.40,2025-10-13 03:00:10,0.00W,0.00A,0.00V,12.43V,0.00A,0.10A,51.86V,5.19W,30,10,38093WH
10.0.70.40,2025-10-13 04:00:09,0.00W,0.00A,0.00V,12.41V,0.00A,0.10A,51.86V,5.19W,29,9,38093WH
10.0.70.40,2025-10-13 05:00:09,0.00W,0.00A,0.00V,12.39V,0.00A,0.09A,51.88V,4.67W,28,8,38093WH
10.0.70.40,2025-10-13 06:00:09,0.00W,0.00A,0.00V,12.34V,0.00A,0.09A,51.86V,4.67W,27,7,38093WH
10.0.70.40,2025-10-13 07:00:11,0.00W,0.00A,0.00V,12.32V,0.00A,0.10A,51.88V,5.19W,27,7,38093WH
10.0.70.40,2025-10-13 08:00:09,6.28W,0.49A,12.81V,12.45V,0.00A,0.09A,51.88V,4.67W,28,7,38094WH
10.0.70.40,2025-10-13 09:00:09,15.08W,1.17A,12.89V,12.45V,0.00A,0.24A,51.84V,12.44W,32,10,38104WH
10.0.70.40,2025-10-13 10:00:09,80.47W,5.43A,14.82V,14.11V,4.71A,0.24A,51.77V,12.42W,39,15,38137WH
10.0.70.40,2025-10-13 11:00:10,82.34W,3.77A,21.84V,14.26V,4.71A,0.24A,51.73V,12.42W,43,18,38186WH
10.0.70.40,2025-10-13 12:00:10,54.60W,2.40A,22.75V,14.56V,2.64A,0.22A,51.71V,11.38W,47,21,38251WH
10.0.70.40,2025-10-13 13:00:10,32.89W,1.42A,23.16V,14.60V,1.15A,0.22A,51.73V,11.38W,47,22,38289WH
10.0.70.40,2025-10-13 14:00:10,14.76W,0.63A,23.43V,14.66V,0.00A,0.24A,51.71V,12.41W,47,23,38309WH
10.0.70.40,2025-10-13 15:00:10,14.46W,0.63A,22.95V,15.03V,0.00A,0.22A,51.71V,11.38W,47,23,38322WH
10.0.70.40,2025-10-13 16:00:11,15.06W,0.68A,22.14V,15.05V,0.00A,0.22A,51.73V,11.38W,47,23,38336WH
10.0.70.40,2025-10-13 17:00:10,10.35W,0.78A,13.27V,12.83V,0.00A,0.22A,51.73V,11.38W,45,22,38346WH
10.0.70.40,2025-10-13 18:00:10,1.91W,0.14A,13.63V,12.62V,0.00A,0.22A,51.77V,11.39W,42,21,38349WH
10.0.70.40,2025-10-13 19:00:10,0.00W,0.00A,0.00V,12.56V,0.00A,0.20A,51.79V,10.36W,39,19,38349WH
10.0.70.40,2025-10-13 20:00:10,0.00W,0.00A,0.00V,12.62V,0.00A,0.09A,51.79V,4.66W,37,18,38349WH
10.0.70.40,2025-10-13 21:00:10,0.00W,0.00A,0.00V,12.56V,0.00A,0.09A,51.81V,4.66W,36,17,38349WH
10.0.70.40,2025-10-13 22:00:09,0.00W,0.00A,0.00V,12.54V,0.00A,0.09A,51.82V,4.66W,34,15,38349WH
10.0.70.40,2025-10-13 23:00:10,0.00W,0.00A,0.00V,12.51V,0.00A,0.09A,51.81V,4.66W,33,14,38349WH
10.0.70.40,2025-10-14 00:00:10,0.00W,0.00A,0.00V,12.49V,0.00A,0.10A,51.84V,5.18W,33,14,38349WH
10.0.70.40,2025-10-14 01:00:09,0.00W,0.00A,0.00V,12.45V,0.00A,0.09A,51.82V,4.66W,33,14,38349WH
10.0.70.40,2025-10-14 02:00:09,0.00W,0.00A,0.00V,12.43V,0.00A,0.09A,51.84V,4.67W,33,14,38349WH
10.0.70.40,2025-10-14 03:00:09,0.00W,0.00A,0.00V,12.41V,0.00A,0.09A,51.84V,4.67W,33,14,38349WH
10.0.70.40,2025-10-14 04:00:10,0.00W,0.00A,0.00V,12.37V,0.00A,0.10A,51.84V,5.18W,33,14,38349WH
10.0.70.40,2025-10-14 05:00:10,0.00W,0.00A,0.00V,12.34V,0.00A,0.10A,51.84V,5.18W,33,14,38349WH
10.0.70.40,2025-10-14 06:00:09,0.00W,0.00A,0.00V,12.32V,0.00A,0.09A,51.84V,4.67W,33,14,38349WH
10.0.70.40,2025-10-14 07:00:09,0.00W,0.00A,0.00V,12.30V,0.00A,0.10A,51.84V,5.18W,33,14,38349WH
10.0.70.40,2025-10-14 08:00:09,2.53W,0.19A,13.31V,12.30V,0.00A,0.09A,51.82V,4.66W,35,14,38349WH
10.0.70.40,2025-10-14 09:00:10,11.87W,0.93A,12.76V,12.34V,0.00A,0.22A,51.79V,11.39W,38,15,38354WH
10.0.70.40,2025-10-14 10:00:09,50.69W,2.74A,18.50V,13.45V,2.50A,0.25A,51.81V,12.95W,41,17,38375WH
10.0.70.40,2025-10-14 11:00:09,97.64W,4.41A,22.14V,14.56V,5.68A,0.25A,51.75V,12.94W,48,20,38455WH
10.0.70.40,2025-10-14 12:00:10,46.47W,2.05A,22.67V,14.58V,1.73A,0.24A,51.69V,12.41W,48,22,38516WH
10.0.70.40,2025-10-14 13:00:10,30.04W,1.32A,22.76V,14.58V,0.91A,0.24A,51.69V,12.41W,49,24,38548WH
10.0.70.40,2025-10-14 14:00:10,15.54W,0.68A,22.86V,14.94V,0.00A,0.22A,51.71V,11.38W,49,26,38571WH
10.0.70.40,2025-10-14 15:00:10,15.47W,0.68A,22.75V,14.62V,0.00A,0.22A,51.71V,11.38W,50,26,38584WH
10.0.70.40,2025-10-14 16:00:09,14.93W,0.68A,21.95V,15.03V,0.00A,0.21A,51.71V,10.86W,50,27,38597WH
10.0.70.40,2025-10-14 17:00:10,3.29W,0.24A,13.72V,12.68V,0.00A,0.22A,51.71V,11.38W,51,26,38603WH
10.0.70.40,2025-10-14 18:00:10,0.00W,0.00A,18.95V,12.58V,0.00A,0.21A,51.73V,10.86W,47,24,38604WH
10.0.70.40,2025-10-14 19:00:10,0.00W,0.00A,0.00V,12.52V,0.00A,0.20A,51.77V,10.35W,42,21,38604WH
10.0.70.40,2025-10-14 20:00:09,0.00W,0.00A,0.00V,12.58V,0.00A,0.09A,51.81V,4.66W,39,18,38604WH
10.0.70.40,2025-10-14 21:00:09,0.00W,0.00A,0.00V,12.56V,0.00A,0.09A,51.82V,4.66W,36,17,38604WH
10.0.70.40,2025-10-14 22:00:10,0.00W,0.00A,0.00V,12.51V,0.00A,0.08A,51.79V,4.14W,36,16,38604WH
10.0.70.40,2025-10-14 23:00:10,0.00W,0.00A,0.00V,12.49V,0.00A,0.09A,51.82V,4.66W,35,15,38604WH
10.0.70.40,2025-10-15 00:00:10,0.00W,0.00A,0.00V,12.45V,0.00A,0.10A,51.84V,5.18W,34,14,38604WH
10.0.70.40,2025-10-15 01:00:09,0.00W,0.00A,0.00V,12.43V,0.00A,0.09A,51.84V,4.67W,33,13,38604WH
10.0.70.40,2025-10-15 02:00:09,0.00W,0.00A,0.00V,12.39V,0.00A,0.09A,51.84V,4.67W,32,12,38604WH
10.0.70.40,2025-10-15 03:00:09,0.00W,0.00A,0.00V,12.37V,0.00A,0.10A,51.86V,5.19W,31,12,38604WH
10.0.70.40,2025-10-15 04:00:10,0.00W,0.00A,0.00V,12.35V,0.00A,0.10A,51.88V,5.19W,31,11,38604WH
10.0.70.40,2025-10-15 05:00:09,0.00W,0.00A,0.00V,12.32V,0.00A,0.10A,51.86V,5.19W,30,10,38604WH
10.0.70.40,2025-10-15 06:00:09,0.00W,0.00A,0.00V,12.30V,0.00A,0.10A,51.88V,5.19W,29,9,38604WH
10.0.70.40,2025-10-15 07:00:09,0.00W,0.00A,0.00V,12.26V,0.00A,0.09A,51.86V,4.67W,29,9,38604WH
10.0.70.40,2025-10-15 08:00:10,0.00W,0.00A,20.23V,12.26V,0.00A,0.09A,51.86V,4.67W,30,9,38604WH
10.0.70.40,2025-10-15 09:00:10,88.78W,3.96A,22.42V,13.96V,5.24A,0.25A,51.82V,12.95W,34,10,38613WH
10.0.70.40,2025-10-15 10:00:10,95.51W,4.26A,22.42V,14.56V,5.53A,0.24A,51.77V,12.42W,43,19,38692WH
10.0.70.40,2025-10-15 11:00:10,50.57W,2.15A,23.52V,14.56V,2.26A,0.24A,51.77V,12.42W,43,17,38756WH
10.0.70.40,2025-10-15 12:00:10,30.52W,1.27A,24.03V,14.60V,0.96A,0.24A,51.79V,12.43W,42,17,38790WH
10.0.70.40,2025-10-15 13:00:10,16.05W,0.68A,23.61V,14.58V,0.04A,0.25A,51.79V,12.95W,42,18,38806WH
10.0.70.40,2025-10-15 14:00:11,16.22W,0.68A,23.86V,14.58V,0.00A,0.22A,51.75V,11.39W,42,18,38820WH
10.0.70.40,2025-10-15 15:00:10,15.97W,0.68A,23.48V,15.07V,0.00A,0.24A,51.77V,12.42W,43,19,38834WH
10.0.70.40,2025-10-15 16:00:10,17.21W,0.78A,22.07V,14.88V,0.04A,0.24A,51.75V,12.42W,42,19,38847WH
10.0.70.40,2025-10-15 17:00:10,5.36W,0.39A,13.74V,12.69V,0.00A,0.22A,51.79V,11.39W,40,16,38854WH
10.0.70.40,2025-10-15 18:00:10,0.00W,0.00A,18.55V,12.56V,0.00A,0.21A,51.81V,10.88W,36,14,38855WH
10.0.70.40,2025-10-15 19:00:10,0.00W,0.00A,0.00V,12.52V,0.00A,0.21A,51.84V,10.89W,33,12,38855WH
10.0.70.40,2025-10-15 20:00:10,0.00W,0.00A,0.00V,12.58V,0.00A,0.10A,51.92V,5.19W,30,9,38855WH
10.0.70.40,2025-10-15 21:00:10,0.00W,0.00A,0.00V,12.54V,0.00A,0.10A,51.90V,5.19W,27,7,38855WH
10.0.70.40,2025-10-15 22:00:09,0.00W,0.00A,0.00V,12.51V,0.00A,0.10A,51.90V,5.19W,26,5,38855WH
10.0.70.40,2025-10-15 23:00:09,0.00W,0.00A,0.00V,12.47V,0.00A,0.12A,51.94V,6.23W,24,4,38855WH
10.0.70.40,2025-10-16 00:00:09,0.00W,0.00A,0.00V,12.45V,0.00A,0.10A,51.92V,5.19W,24,4,38855WH
10.0.70.40,2025-10-16 01:00:09,0.00W,0.00A,0.00V,12.41V,0.00A,0.10A,51.92V,5.19W,24,4,38855WH
